feature_0,feature_1,Target
-1.5533393170824337,2.1203754721576367,0
2.3308273020862087,2.44921126175565,1
-1.7320026058646094,2.361168573514714,0
1.377868869611807,2.1235811736026102,1
2.4572046048127545,2.482215291666223,1
-2.0435245004046707,3.083291914592265,0
-0.9223231158508596,1.5823450085355706,0
1.7112788421103824,1.5299594843660773,1
-1.9095271442237922,2.4773713918204496,0
1.6088957821789838,2.2614959293984165,1
-1.8844208540323484,0.8877197328883972,0
1.948775375392923,1.516934777950548,1
1.4754165847002736,2.1036691754921777,1
-1.9656119459349584,2.3624309544319297,0
2.2228087166541086,2.26893776091897,1
1.3485314567870128,1.823266979373082,1
-2.0478849297313184,3.1428774265000383,0
-0.8136294144540948,0.9200346960287042,0
1.1504013377958873,1.702684619769,1
-2.6066028865440973,1.862860180268209,0
-2.133742995241093,1.6452001385957626,0
2.1054074055257725,1.8213228025361132,1
-1.9975377007923811,1.001740801218709,0
2.2610456793790052,2.2750203150657793,1
1.8206661360180778,1.5797666210864563,1
1.5693056768254485,1.4574279862728492,1
-1.9758699348347104,0.5581756066949224,0
-0.9395299378991298,0.20014612222622508,0
-1.619430131841649,2.3831990193315757,0
-2.4487413809360805,2.373519760893262,0
-1.7656673622023558,1.272712024165898,0
1.2962377171229866,1.083689616297168,1
2.990975508225659,2.290857171191343,1
-1.258534410744438,1.604678320653834,0
2.1566588857279245,2.112572201617583,1
-2.1627581254494888,1.8627987655465434,0
-2.8117836101819056,1.9605031727834719,0
-2.0390952278112384,2.9402035622586453,0
1.885920936225173,1.7835937492366045,1
-2.783902979967987,3.1271669513439484,0
-2.5147242604527227,2.194250335127997,0
3.6261916076761036,3.00742383269047,1
2.5476971509050625,2.206139695359386,1
2.5191255558739045,2.104496734574694,1
-2.7094787000685385,2.809912080715703,0
3.9289179774581418,3.7030913664139185,1
-1.8716867179912666,2.652106786326682,0
-3.043346627758165,2.195157164893283,0
2.4965044048002527,2.6637127193495935,1
-1.2932117947785815,2.8410574480409547,0
-2.278867074162261,-0.377389238103202,0
-1.916185675363164,2.875945645220159,0
-1.4665190327730664,2.5588117583568795,0
1.9700623791555865,1.935059651766011,1
0.21470017261910468,0.9085707584444351,1
-1.9122008378632704,1.6579328283020072,0
-0.9669116138695872,2.831883890900874,0
-2.5313360838591055,2.0017402703179163,0
-2.11980508869362,3.4848530026585722,0
3.2007791075111065,2.844221498921983,1
2.4860255602181254,2.1116688719075176,1
-1.7226302484129252,1.7455805098064947,0
-0.31574033408207214,-0.049425236330494116,1
-1.8362975474387344,0.5550308262134418,0
-1.8433227086344024,1.5579743922977907,0
-2.8809279163174106,2.3223506027173935,0
-1.9205495457861126,0.49823816789935993,0
-2.8658503068775274,1.8365168099475635,0
-2.0939070115239264,3.370935899488731,0
-2.1620088669066098,1.378011286690291,0
-1.2911089708482704,2.3744249665984283,0
2.3775320745686486,2.4233127408631474,1
2.478675029357601,2.49734040478737,1
2.5352627424309007,2.5558177769612893,1
-3.178082715147853,3.8383726946185273,0
3.7691176363496073,3.2319853258317455,1
2.92075229274072,2.87664815299702,1
-1.7461295676588386,1.060736159928873,0
0.7663680420408501,1.5886076211766904,1
2.230267152203362,2.120239918856405,1
